id,专利类型,案件受理年份,案件判决年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
126,1,2015,2016,0,0,0,0,0,1,0,3,5,0,3
127,1,2014,2015,0,0,0,0,1,2,4,1,5,0,2
128,1,2014,2015,0,0,1,1,0,1,0,3,4,1,0
129,1,2014,2015,0,0,1,0,0,1,0,3,4,1,0
130,1,2014,2015,0,0,1,0,0,1,0,3,4,1,0
131,1,2015,2016,0,0,1,0,1,2,4,6,4,1,0
132,1,2015,2015,0,0,0,0,0,1,0,1,5,1,0
133,1,2018,2018,0,0,1,0,0,2,0,4,4,1,0
134,1,2016,2017,0,1,0,0,1,6,6,4,5,0,4
135,1,2015,2017,0,0,1,1,1,6,5,3,5,0,2
136,1,2014,2016,0,0,1,1,1,5,5,7,5,0,3
137,1,2015,2015,0,0,1,1,1,6,5,3,4,1,0
138,1,2015,2015,0,0,1,1,1,6,5,3,4,1,0
139,1,2014,2015,0,0,1,1,1,6,5,3,4,1,0
140,1,2015,2017,0,0,1,0,1,2,5,4,4,0,2
141,1,2015,2015,0,0,1,1,1,6,5,1,4,1,0
142,1,2016,018.,1,0,1,1,1,3,4,4,5,0,2
143,1,2017,2017,1,0,1,1,1,3,4,4,5,0,2
144,1,2018,2019,0,0,0,1,1,3,4,3,5,0,3
145,1,2016,2017,0,0,0,1,1,6,0,2,5,1,0
146,1,2016,2017,0,1,0,0,0,6,2,3,5,0,3
147,1,2017,2017,0,1,0,0,0,1,4,3,5,0,2
148,1,2017,2018,0,0,0,1,1,6,0,3,5,1,0
149,1,2017,2017,0,1,0,0,1,6,5,7,3,1,0
150,1,2016,2017,0,0,1,0,0,1,0,4,4,1,0
151,1,2018,2019,0,0,1,1,1,5,0,6,5,0,5
152,1,2016,2016,0,0,0,1,1,6,0,4,5,1,0
153,1,2018,2019,0,0,1,0,1,3,5,2,5,0,2
154,1,2017,2018,0,0,1,0,1,3,5,2,5,0,5
155,1,2017,2017,0,0,1,1,1,6,6,3,5,0,5
156,1,2015,2017,0,0,1,0,0,2,0,3,5,0,3
157,1,2015,2017,0,0,1,1,1,6,0,3,5,0,3
158,1,2012,2015,0,0,0,0,1,6,2,3,4,1,0
159,1,2018,2018,0,0,1,0,0,1,0,6,4,1,0
160,1,2014,2015,0,0,1,0,1,6,5,5,3,1,0
161,1,2015,2015,0,0,1,0,1,3,3,4,5,0,3
162,1,2015,2015,0,0,1,1,1,6,0,3,5,0,3
163,1,2015,2015,0,0,1,1,1,6,0,3,5,0,3
164,1,2016,2016,0,0,0,0,1,5,3,3,4,1,0
165,1,2016,2016,0,0,0,0,0,3,5,3,4,1,0
166,1,2016,2016,0,0,0,0,0,2,5,3,4,1,0
167,1,2016,2016,0,0,0,0,1,6,5,3,4,1,0
168,1,2018,2018,0,0,0,0,1,3,2,7,5,1,0
169,1,2016,2016,0,0,0,1,1,6,0,7,5,1,0
170,1,2016,2016,0,0,0,0,1,5,5,3,4,1,0
171,1,2016,2017,0,0,0,1,1,3,4,1,4,1,0
172,1,2017,2018,0,0,1,1,1,6,5,3,5,0,3
173,1,2018,2019,0,0,1,0,1,6,5,3,5,1,0
174,1,2018,2018,0,0,1,1,1,6,5,3,4,0,4
175,1,2017,2017,0,0,1,1,1,6,7,3,3,1,0
176,1,2017,2017,0,0,1,1,1,6,7,3,4,1,0
177,1,2018,2019,0,0,1,0,0,1,2,3,3,0,1
178,1,2018,2018,0,0,1,0,0,1,2,5,3,0,1
179,1,2017,2018,0,0,1,1,1,6,5,3,5,0,4
180,1,2018,2018,0,0,1,0,0,1,5,3,5,0,2
181,1,2015,2015,0,0,1,0,1,2,4,3,5,0,3
182,1,2015,2015,0,0,1,0,1,2,5,3,5,0,3
183,1,2015,2015,0,0,1,0,1,2,4,3,5,0,3
184,1,2015,2015,0,0,1,0,1,2,3,3,5,0,3
185,1,2017,2017,0,0,1,1,1,6,5,3,5,0,4
186,1,2017,2018,0,0,1,1,1,6,5,3,5,0,2
187,1,2015,2016,0,0,1,0,1,2,2,3,5,0,2
188,1,2015,2015,0,0,1,0,1,3,0,3,5,0,3
189,1,2014,2015,0,0,1,0,0,2,5,3,5,0,3
190,1,2016,2017,0,0,1,0,1,3,6,3,5,0,3
191,1,2017,2017,0,0,1,0,0,1,5,3,5,0,5
192,1,2017,2018,1,0,1,1,1,6,6,3,5,1,0
193,1,2015,2017,0,0,1,1,1,6,5,2,5,0,3
194,1,2016,2018,0,0,0,1,1,3,4,4,5,0,2
195,1,2015,2016,0,0,0,0,0,1,0,3,2,0,5
196,1,2018,2019,0,0,1,0,1,6,5,3,4,0,5
197,1,2014,2015,0,0,1,0,1,6,6,3,4,1,0
198,1,2019,2019,0,0,1,0,1,6,0,2,3,1,0
199,1,2017,2018,0,0,1,0,1,4,5,3,4,0,4
200,1,2018,2018,0,0,1,0,1,4,5,1,4,1,0
201,1,2017,2018,1,0,1,0,1,3,7,2,5,0,6
202,1,2018,2018,0,0,1,0,1,4,5,2,4,0,5
203,1,2016,2018,0,0,1,0,1,6,6,2,5,0,2
204,1,2015,2016,0,0,1,0,0,2,4,4,4,1,0
205,1,2017,2019,0,0,1,0,1,3,2,2,5,0,2
206,1,2017,2019,0,0,1,0,1,3,2,2,5,0,2
207,1,2018,2018,0,1,1,1,1,4,0,2,5,0,3
208,1,2017,2018,0,0,1,0,1,3,4,4,4,0,1
209,1,2018,2019,0,0,1,0,1,3,3,4,5,0,2
210,1,2015,2015,0,0,1,1,1,6,4,4,4,1,0
211,1,2015,2016,0,0,1,0,1,6,6,4,5,1,0
212,1,2017,2018,0,0,1,1,1,4,0,4,4,0,2
213,1,2017,2018,0,0,1,1,1,4,0,4,4,0,2
214,1,2018,2018,0,0,1,0,1,4,0,4,5,1,0
215,1,2017,2017,0,0,1,0,0,1,0,4,5,1,0
216,1,2018,2019,0,1,1,0,1,6,0,4,5,1,0
217,1,2015,2015,0,0,1,1,1,3,5,4,2,1,0
218,1,2018,2018,0,0,1,0,1,6,0,4,4,1,0
219,1,2018,2018,0,0,1,0,1,4,0,4,5,1,0
220,1,2016,2017,1,0,1,1,1,6,5,3,5,1,0
221,1,2015,2016,0,0,1,0,1,3,2,4,5,0,2
222,1,2016,2016,0,0,0,1,1,6,3,3,5,0,2
223,1,2016,2016,0,0,0,1,1,5,0,2,5,0,5
224,1,2017,2018,0,0,0,0,1,3,3,4,5,1,0
225,1,2016,2016,0,0,0,0,1,3,0,4,4,0,4
226,1,2014,2015,0,0,0,0,1,3,5,3,5,0,4
227,1,2017,2018,0,0,0,0,1,6,2,1,5,1,0
228,1,2015,2016,0,1,1,1,1,3,4,3,5,0,2
229,1,2016,2017,0,1,1,1,1,3,0,3,5,0,3
230,1,2014,2015,0,0,1,0,1,6,0,4,4,1,0
231,1,2017,2018,0,0,1,0,1,3,4,4,5,0,4
232,1,2015,2016,0,1,1,0,1,6,0,4,5,0,4
233,1,2015,2016,0,0,1,0,1,6,0,4,5,0,4
234,1,2014,2015,0,0,1,1,1,3,5,3,5,0,5
235,1,2016,2017,0,0,1,0,1,6,0,7,5,0,4
236,1,2016,2016,0,0,1,0,1,6,2,7,5,0,1
237,1,2016,2016,0,0,1,0,1,6,2,7,5,1,0
238,1,2016,2018,0,0,0,0,1,4,3,2,5,1,0
239,1,2018,2018,0,0,0,0,1,6,6,3,5,0,4
240,1,2015,2016,0,0,1,0,1,5,4,3,5,0,3
241,1,2016,2017,0,0,1,0,1,3,4,3,5,0,3
242,1,2017,2018,0,0,1,0,1,5,4,2,5,1,0
243,1,2014,2018,0,0,1,0,1,3,5,4,5,0,4
244,1,2016,2017,0,0,1,1,1,5,0,3,5,0,4
245,1,2017,2017,0,0,1,1,1,3,4,5,5,0,3
246,1,2017,2017,0,0,1,1,1,6,4,5,2,1,0
247,1,2017,2017,0,1,0,0,1,6,0,5,3,1,0
248,1,2014,2015,0,0,1,0,1,6,6,3,5,0,4
249,1,2017,2018,0,0,1,0,1,6,0,3,5,0,4
250,1,2015,2016,0,0,1,1,0,3,2,3,5,0,1
251,1,2017,2017,0,0,1,0,1,6,4,3,4,1,0
252,1,2014,2015,0,0,1,1,1,4,4,3,5,0,2
253,1,2017,2018,0,0,1,1,1,4,5,3,5,1,0
254,1,2015,2016,0,0,1,0,1,4,2,3,5,1,0
255,1,2017,2017,0,0,0,1,0,3,0,4,5,0,3
256,1,2016,2017,0,0,0,1,0,3,3,4,4,1,0
257,1,2016,2017,0,0,0,0,1,3,3,4,4,1,0
258,1,2016,2016,0,0,0,0,1,4,0,3,5,0,2
259,1,2016,2016,0,0,0,0,1,6,6,3,5,0,6
260,1,2018,2018,0,0,0,0,1,2,0,4,4,1,0
261,1,2016,2016,0,0,0,1,1,3,3,2,5,0,2
262,1,2015,2016,0,0,0,0,1,3,5,4,4,1,0
263,1,2017,2018,0,0,0,1,1,6,6,2,5,0,2
264,1,2014,2015,0,0,0,0,1,3,2,7,3,0,2
265,1,2014,2015,0,0,0,0,0,1,0,7,3,0,2
266,1,2016,2017,0,0,0,1,1,5,0,3,4,1,0
267,1,2015,2017,0,0,0,1,1,6,2,4,4,0,2
268,1,2015,2016,0,0,0,1,1,4,4,4,5,0,2
269,1,2017,2017,0,0,1,1,1,6,4,3,5,0,3
270,1,2016,2017,0,0,0,1,1,6,4,2,4,1,0
271,1,2017,2018,0,0,1,0,1,3,0,3,4,1,0
272,1,2017,2017,0,0,1,1,1,6,4,3,4,0,2
273,1,2017,2018,0,0,1,0,1,4,4,3,4,0,2
274,1,2017,2017,0,0,1,0,1,4,4,3,4,0,2
275,1,2017,2017,0,0,0,1,1,3,4,3,5,0,2
276,1,2015,2015,0,0,0,1,1,6,5,3,5,0,2
277,1,2016,2017,0,0,0,1,1,6,4,3,5,0,2
278,1,2018,2018,0,0,0,0,0,2,4,4,5,0,2
279,1,2015,2016,0,0,1,1,1,6,5,2,5,0,5
280,1,2015,2016,0,0,1,1,1,6,6,2,5,0,5
