id,专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
2543,3,2015,0,0,1,0,0,1,2,2,4,0,1-10万
2544,3,2015,0,0,1,1,1,5,3,3,5,0,1-10万
2545,3,2016,0,0,0,0,1,3,2,4,3,0,1-10万
2546,3,2015,0,0,0,0,1,3,2,4,3,0,0-1万
2547,3,2016,0,0,0,0,1,3,2,4,3,0,1-10万
2548,3,2017,0,0,1,1,1,4,0,3,3,0,20-50万
2549,3,2017,0,0,1,1,1,6,5,5,3,0,1-10万
2550,3,2014,0,0,0,0,1,2,0,4,3,0,1-10万
2551,3,2014,0,0,0,1,1,6,0,4,3,0,1-10万
2552,3,2014,0,0,0,1,1,4,0,4,4,0,1-10万
2553,3,2016,0,0,0,0,0,1,0,4,5,0,1-10万
2554,3,2016,0,0,0,1,1,6,0,5,5,0,1-10万
2555,3,2019,0,0,0,0,0,1,2,3,5,1,0万
2556,3,2017,0,0,0,1,1,3,4,4,3,1,0万
2557,3,2016,0,0,1,0,1,4,1,3,1,1,0万
2558,3,2016,0,0,0,0,0,1,2,4,3,1,0万
2559,3,2017,0,0,1,1,1,6,4,4,4,0,10-20万
2560,3,2016,0,0,1,1,1,4,4,3,4,0,1-10万
2561,3,2016,0,0,1,0,1,3,3,3,5,0,1-10万
2562,3,2016,0,0,1,1,1,6,3,3,5,0,1-10万
2563,3,2017,0,0,1,1,1,4,2,3,5,0,1-10万
2564,3,2017,0,0,1,0,1,4,2,3,5,0,1-10万
2565,3,2018,0,0,0,1,1,6,2,3,5,0,1-10万
2566,3,2014,0,0,0,0,0,1,2,4,5,0,1-10万
2567,3,2015,0,0,0,1,0,1,3,3,5,0,1-10万
2568,3,2018,0,0,0,0,0,1,2,3,4,0,1-10万
2569,3,2018,0,0,0,0,0,2,2,3,4,0,1-10万
2570,3,2016,0,0,0,1,0,1,3,3,5,0,0-1万
2571,3,2018,0,1,1,0,1,3,0,4,5,0,10-20万
2572,3,2016,0,0,0,0,0,1,2,4,5,0,0-1万
2573,3,2016,1,0,1,1,1,6,4,4,4,0,0-1万
2574,3,2017,0,0,0,1,0,3,2,4,4,0,1000万+
2575,3,2018,0,0,0,0,1,5,2,4,5,0,0-1万
2576,3,2017,0,0,0,0,1,3,2,4,4,0,0-1万
2577,3,2018,0,0,0,0,1,2,2,4,5,0,1-10万
2578,3,2017,0,0,0,0,1,3,2,4,4,0,0-1万
2579,3,2017,0,0,0,0,1,3,2,4,3,0,1-10万
2580,3,2017,0,0,0,1,0,3,0,4,5,0,1-10万
2581,3,2017,0,0,0,1,0,3,0,4,5,0,1-10万
2582,3,2017,0,0,0,0,1,3,2,4,4,0,0-1万
2583,3,2018,0,0,0,0,1,3,2,4,5,0,1-10万
